Title,Date/Time,Location,Event Link,Image URL
Paid Research Study: Chinese and Korean Americans Needed,"Mon, Feb 3, 2025",Virtual Event,https://calendar.utexas.edu/event/paid-research-study-chinese-and-korean-americans-needed-1156,https://localist-images.azureedge.net/photos/48014260437248/card/c7c76d54d245c600380daac0828e45d2da635a0f.jpg
2025 SEED Challenge,"Mon, Feb 3, 2025 12am to 11:59pm",,https://calendar.utexas.edu/event/2025-seed-challenge,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
25Sp TPS - (Asynchronous) How we learn: How can I use pedagogical theory to make learning last?,"Mon, Feb 3, 2025 12am to 11:59pm",Asynchronous - see description below,https://calendar.utexas.edu/event/25sp-tps-asynchronous-how-we-learn-how-can-i-use-pedagogical-theory-to-make-learning-last,https://localist-images.azureedge.net/photos/48729431710334/card/08209b192ad93dd42dea92ba9fe8c22341407698.jpg
Apply: Research Assistant for Study on Children who Translate for English-limited Parents,"Mon, Feb 3, 2025","Sarah M. and Charles E. Seay Building (SEA), 2.322G",https://calendar.utexas.edu/event/apply_research_assistant_for_study_on_children_who_translate_for_english-limited_parents_7470,https://localist-images.azureedge.net/photos/576756/card/aa66fe69d1aada657f1a5e49ad81702cd3e6a36a.jpg
Become an Intramural Dodgeball Official,"Mon, Feb 3, 2025","Gregory Gymnasium (GRE), 1.104",https://calendar.utexas.edu/event/become-an-intramural-dodgeball-official,https://localist-images.azureedge.net/photos/48738620552506/card/965ffc90ea4541f110ef01fd048a6f04bc70d9d5.jpg
Become an Intramural Flag Football Official,"Mon, Feb 3, 2025","Gregory Gym , 1.104",https://calendar.utexas.edu/event/become-an-intramural-flag-football-official,https://localist-images.azureedge.net/photos/48738564595479/card/d648265aad4bc8080f1fbb964372d55414dc3204.jpg
Become an Intramural Indoor Volleyball Official,"Mon, Feb 3, 2025","Gregory Gymnasium (GRE), 1.104",https://calendar.utexas.edu/event/become-an-intramural-indoor-volleyball-official,https://localist-images.azureedge.net/photos/48738727667991/card/8925bec6356534ad226ce9c7bf011bf01ed4831c.jpg
Become an Intramural Sand Volleyball Official,"Mon, Feb 3, 2025",Wright-Whitaker Sports Complex,https://calendar.utexas.edu/event/become-an-intramural-sand-volleyball-official,https://localist-images.azureedge.net/photos/48738678710569/card/a6e0f7804ef17a02b94b2886b22c3aae4c4f24a7.jpg
Become an Intramural Softball Official,"Mon, Feb 3, 2025","Gregory Gymnasium (GRE), 1.104",https://calendar.utexas.edu/event/become-an-intramural-softball-official,https://localist-images.azureedge.net/photos/48738786513547/card/cb02175bf1ccccc48eca6e77e783523198d37539.jpg
Blackland Prairies,"Mon, Feb 3, 2025","Visual Arts Center, Art Building (ART)",https://calendar.utexas.edu/event/blackland-prairies,https://localist-images.azureedge.net/photos/48220949731732/card/a666e05a845ecdd63b95f96face4f408b6785a48.jpg
Energy Tech University Prize (EnergyTech UP),"Mon, Feb 3, 2025 12am to 11:59pm",,https://calendar.utexas.edu/event/energy-tech-university-prize-energytech-up,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
Healthy Young Adults Needed for Paid Brain Imaging Research Study on Bipolar Disorder and Alcohol,"Mon, Feb 3, 2025",Health Discovery Building (HDB),https://calendar.utexas.edu/event/healthy-young-adults-needed-for-paid-brain-imaging-research-study-on-bipolar-disorder-and-alcohol,https://localist-images.azureedge.net/photos/662105/card/0cd87b0b6d47f7f0b475524320679faac0058591.jpg
Interested in Teaching English Abroad?,"Mon, Feb 3, 2025",,https://calendar.utexas.edu/event/interested_in_teaching_english_abroad,https://localist-images.azureedge.net/photos/34846329908695/card/a6751a10c2cbbf188c40981bb0681883844bbeb4.jpg
Pablo Tut: Land Invention,"Mon, Feb 3, 2025","Visual Arts Center, Art Building (ART)",https://calendar.utexas.edu/event/pablo-tut-landinvention,https://localist-images.azureedge.net/photos/48663369816390/card/ec7f222df0c8acb75da940ebf210d8bd20544c2a.jpg
Paid Culture Study: Mexican Americans and Non-Hispanic White Americans needed,"Mon, Feb 3, 2025","Sarah M. and Charles E. Seay Building (SEA), Room 3.124A (3rd Floor)",https://calendar.utexas.edu/event/paid-culture-study-mexican-americans-and-non-hispanic-white-americans-needed-4028,https://localist-images.azureedge.net/photos/47844714583490/card/af97a1b4330241db8ed25536f7bf2520e9f52dcc.jpg
Paid MRI Research Opportunity,"Mon, Feb 3, 2025","Health Discovery Building (HDB), 4R Floor",https://calendar.utexas.edu/event/paid-mri-research-opportunity,https://localist-images.azureedge.net/photos/47905904017782/card/7c44a2d8322ae62f97254ea842362fe850a27bc4.jpg
Paid Participants Needed: Cognitive and arterial function before and after prolonged sitting,"Mon, Feb 3, 2025","2109 San Jacinto Blvd, Austin, Texas 78712,, BEL 842",https://calendar.utexas.edu/event/paid-participants-needed-cognitive-and-arterial-function-before-and-after-prolonged-sitting,https://localist-images.azureedge.net/photos/48597724289496/card/bfec7517e0e1c65e5de928118e0d04288b0fd9a4.jpg
